Global_year,Global_avg_temp,Global_Avg_temp,Local_year,avg_temp,New York_Avg_temp
1750,8.72,,1750,10.07,
1751,7.98,,1751,10.79,
1752,5.78,,1752,2.81,
1753,8.39,,1753,9.52,
1754,8.47,,1754,9.88,
1755,8.36,,1755,6.61,
1756,8.85,,1756,9.94,
1757,9.02,,1757,8.89,
1758,6.74,,1758,8.15,
1759,7.99,,1759,9.01,
1760,7.19,,1760,7.73,
1761,8.77,,1761,10.18,
1762,8.61,,1762,9.55,
1763,7.5,,1763,7.23,
1764,8.4,,1764,9.55,
1765,8.25,8.06,1765,8.96,8.68
1766,8.41,8.04,1766,10.09,8.68
1767,8.22,8.06,1767,8.52,8.54
1768,6.78,8.12,1768,8.67,8.91
1769,7.69,8.08,1769,9.1,8.88
1770,7.69,8.03,1770,9.04,8.83
1771,7.85,8.00,1771,10.18,9.05
1772,8.19,7.96,1772,9.64,9.03
1773,8.22,7.91,1773,10.08,9.11
1774,8.77,8.03,1774,9.52,9.19
1775,9.18,8.11,1775,10.24,9.27
1776,8.3,8.18,1776,9.13,9.36
1777,8.26,8.15,1777,8.77,9.27
1778,8.54,8.14,1778,6.89,9.10
1779,8.98,8.23,1779,0.25,8.66
1780,9.43,8.30,1780,9.4,8.66
1781,8.1,8.29,1781,9.79,8.71
1782,7.9,8.26,1782,9.15,8.65
1783,7.68,8.22,1783,8.81,8.67
1784,7.86,8.29,1784,8.4,8.65
1785,7.36,8.27,1785,8.49,8.61
1786,8.26,8.31,1786,8.98,8.61
1787,8.03,8.32,1787,8.97,8.53
1788,8.45,8.33,1788,9.77,8.54
1789,8.33,8.34,1789,9.42,8.50
1790,7.98,8.29,1790,9.39,8.49
1791,8.23,8.23,1791,9.37,8.44
1792,8.09,8.22,1792,8.72,8.41
1793,8.23,8.22,1793,9.88,8.48
1794,8.53,8.22,1794,9.83,8.66
1795,8.35,8.18,1795,9.21,9.22
1796,8.27,8.10,1796,8.97,9.20
1797,8.51,8.13,1797,8.85,9.14
1798,8.67,8.18,1798,9.71,9.17
1799,8.51,8.23,1799,9.19,9.20
1800,8.48,8.27,1800,9.58,9.27
1801,8.59,8.34,1801,10,9.37
1802,8.58,8.36,1802,10.29,9.45
1803,8.5,8.39,1803,10.07,9.52
1804,8.84,8.42,1804,9.69,9.51
1805,8.56,8.43,1805,10.43,9.57
1806,8.43,8.46,1806,9.38,9.57
1807,8.28,8.46,1807,9.17,9.56
1808,7.63,8.44,1808,9.57,9.61
1809,7.08,8.36,1809,8.87,9.55
1810,6.92,8.26,1810,9.35,9.52
1811,6.86,8.17,1811,9.43,9.53
1812,7.05,8.09,1812,7.8,9.46
1813,7.74,8.05,1813,8.93,9.47
1814,7.59,7.98,1814,8.7,9.40
1815,7.24,7.90,1815,8.27,9.35
1816,6.94,7.80,1816,7.92,9.24
1817,6.98,7.70,1817,7.78,9.10
1818,7.83,7.65,1818,8.13,8.97
1819,7.37,7.58,1819,9.07,8.91
